Dashboard   Period GeoCode                                            GeoName                                            VariableType                                       VariableA                                          VariableB                                          Value                   
          1 2018   NULL                                               NULL                                               AgeSex                                             84                                                 1                                                                    9152.0
          1 2018   NULL                                               NULL                                               AgeSex                                             84                                                 2                                                                    9211.0
          1 2018   NULL                                               NULL                                               AgeSex                                             85                                                 1                                                                    9183.0
          1 2018   NULL                                               NULL                                               AgeSex                                             85                                                 2                                                                    9851.0
          1 2018   NULL                                               NULL                                               AgeSex                                             86                                                 1                                                                    9576.0
          1 2018   NULL                                               NULL                                               AgeSex                                             86                                                 2                                                                   10629.0
          1 2018   NULL                                               NULL                                               AgeSex                                             87                                                 1                                                                    9334.0
          1 2018   NULL                                               NULL                                               AgeSex                                             87                                                 2                                                                   11273.0
          1 2018   NULL                                               NULL                                               AgeSex                                             88                                                 1                                                                    8901.0
          1 2018   NULL                                               NULL                                               AgeSex                                             88                                                 2                                                                   11533.0
          1 2018   NULL                                               NULL                                               AgeSex                                             89                                                 1                                                                    8296.0
          1 2018   NULL                                               NULL                                               AgeSex                                             89                                                 2                                                                   11034.0
          1 2018   NULL                                               NULL                                               AgeSex                                             9                                                  1                                                                      17.0
          1 2018   NULL                                               NULL                                               AgeSex                                             9                                                  2                                                                      26.0
          1 2018   NULL                                               NULL                                               AgeSex                                             90                                                 1                                                                    7372.0
          1 2018   NULL                                               NULL                                               AgeSex                                             90                                                 2                                                                   10889.0
          1 2018   NULL                                               NULL                                               AgeSex                                             91                                                 1                                                                    6644.0
          1 2018   NULL                                               NULL                                               AgeSex                                             91                                                 2                                                                   10487.0
          1 2018   NULL                                               NULL                                               AgeSex                                             92                                                 1                                                                    5871.0
          1 2018   NULL                                               NULL                                               AgeSex                                             92                                                 2                                                                    9886.0
          1 2018   NULL                                               NULL                                               AgeSex                                             93                                                 1                                                                    4853.0
          1 2018   NULL                                               NULL                                               AgeSex                                             93                                                 2                                                                    9111.0
          1 2018   NULL                                               NULL                                               AgeSex                                             94                                                 1                                                                    4021.0
          1 2018   NULL                                               NULL                                               AgeSex                                             94                                                 2                                                                    8162.0
          1 2018   NULL                                               NULL                                               AgeSex                                             95                                                 1                                                                    3128.0
          1 2018   NULL                                               NULL                                               AgeSex                                             95                                                 2                                                                    7150.0
          1 2018   NULL                                               NULL                                               AgeSex                                             96                                                 1                                                                    2544.0
          1 2018   NULL                                               NULL                                               AgeSex                                             96                                                 2                                                                    6166.0
          1 2018   NULL                                               NULL                                               AgeSex                                             97                                                 1                                                                    1907.0
          1 2018   NULL                                               NULL                                               AgeSex                                             97                                                 2                                                                    5328.0
          1 2018   NULL                                               NULL                                               AgeSex                                             98                                                 1                                                                    1293.0
          1 2018   NULL                                               NULL                                               AgeSex                                             98                                                 2                                                                    4015.0
          1 2018   NULL                                               NULL                                               AgeSex                                             99                                                 1                                                                     635.0
          1 2018   NULL                                               NULL                                               AgeSex                                             99                                                 2                                                                    2057.0
          2 2018   NULL                                               NULL                                               UCOD                                               NULL                                               NULL                                                                 2625.0
          2 2018   NULL                                               NULL                                               UCOD                                               A00-B99                                            NULL                                                                 5442.0
          2 2018   NULL                                               NULL                                               UCOD                                               C00-D48                                            NULL                                                               149861.0
          2 2018   NULL                                               NULL                                               UCOD                                               D50-D89                                            NULL                                                                 1104.0
          2 2018   NULL                                               NULL                                               UCOD                                               E00-E90                                            NULL                                                                 8751.0
          2 2018   NULL                                               NULL                                               UCOD                                               F00-F99                                            NULL                                                                50804.0
          2 2018   NULL                                               NULL                                               UCOD                                               G00-G99                                            NULL                                                                35619.0
          2 2018   NULL                                               NULL                                               UCOD                                               H00-H59                                            NULL                                                                   12.0
          2 2018   NULL                                               NULL                                               UCOD                                               H60-H95                                            NULL                                                                   30.0
          2 2018   NULL                                               NULL                                               UCOD                                               I00-I99                                            NULL                                                               132238.0
          2 2018   NULL                                               NULL                                               UCOD                                               J00-J99                                            NULL                                                                76729.0
          2 2018   NULL                                               NULL                                               UCOD                                               K00-K93                                            NULL                                                                25700.0
          2 2018   NULL                                               NULL                                               UCOD                                               L00-L99                                            NULL                                                                 2049.0
          2 2018   NULL                                               NULL                                               UCOD                                               M00-M99                                            NULL                                                                 3820.0
          2 2018   NULL                                               NULL                                               UCOD                                               N00-N99                                            NULL                                                                 8848.0
          2 2018   NULL                                               NULL                                               UCOD                                               O00-O99                                            NULL                                                                   33.0
          2 2018   NULL                                               NULL                                               UCOD                                               P00-P96                                            NULL                                                                  171.0
          2 2018   NULL                                               NULL                                               UCOD                                               Q00-Q99                                            NULL                                                                 1351.0
          2 2018   NULL                                               NULL                                               UCOD                                               R00-R99                                            NULL                                                                14060.0
          2 2018   NULL                                               NULL                                               UCOD                                               U509,V01-Y89                                       NULL                                                                22342.0
          3 2018   NULL                                               NULL                                               LA                                                 NULL                                               NULL                                                                35730.0
          3 2018   E06000001                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1014.0
          3 2018   E06000002                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1454.0
          3 2018   E06000003                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1594.0
          3 2018   E06000004                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1972.0
          3 2018   E06000005                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1161.0
          3 2018   E06000006                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1267.0
          3 2018   E06000007                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1983.0
          3 2018   E06000008                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1264.0
          3 2018   E06000009                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1915.0
          3 2018   E06000010                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2506.0
          3 2018   E06000011                                          NULL                                               LA                                                 NULL                                               NULL                                                                 3922.0
          3 2018   E06000012                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1698.0
          3 2018   E06000013                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1832.0
          3 2018   E06000014                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1902.0
          3 2018   E06000015                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2441.0
          3 2018   E06000016                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2531.0
          3 2018   E06000017                                          NULL                                               LA                                                 NULL                                               NULL                                                                  416.0
          3 2018   E06000018                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2312.0
          3 2018   E06000019                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2171.0
          3 2018   E06000020                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1560.0
          3 2018   E06000021                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2799.0
          3 2018   E06000022                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1624.0
          3 2018   E06000023                                          NULL                                               LA                                                 NULL                                               NULL                                                                 3505.0
          3 2018   E06000024                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2379.0
          3 2018   E06000025                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2347.0
          3 2018   E06000026                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2591.0
          3 2018   E06000027                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1822.0
          3 2018   E06000030                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1729.0
          3 2018   E06000031                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1632.0
          3 2018   E06000032                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1505.0
          3 2018   E06000033                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2020.0
          3 2018   E06000034                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1242.0
          3 2018   E06000035                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2329.0
          3 2018   E06000036                                          NULL                                               LA                                                 NULL                                               NULL                                                                  728.0
          3 2018   E06000037                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1168.0
          3 2018   E06000038                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1045.0
          3 2018   E06000039                                          NULL                                               LA                                                 NULL                                               NULL                                                                  847.0
          3 2018   E06000040                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1279.0
          3 2018   E06000041                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1156.0
          3 2018   E06000042                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1833.0
          3 2018   E06000043                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2231.0
          3 2018   E06000044                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1765.0
          3 2018   E06000045                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1914.0
          3 2018   E06000046                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1817.0
          3 2018   E06000047                                          NULL                                               LA                                                 NULL                                               NULL                                                                 5715.0
          3 2018   E06000049                                          NULL                                               LA                                                 NULL                                               NULL                                                                 4084.0
          3 2018   E06000050                                          NULL                                               LA                                                 NULL                                               NULL                                                                 3451.0
          3 2018   E06000051                                          NULL                                               LA                                                 NULL                                               NULL                                                                 3562.0
          3 2018   E06000052                                          NULL                                               LA                                                 NULL                                               NULL                                                                 6556.0
          3 2018   E06000053                                          NULL                                               LA                                                 NULL                                               NULL                                                                   15.0
          3 2018   E06000054                                          NULL                                               LA                                                 NULL                                               NULL                                                                 4725.0
          3 2018   E06000055                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1495.0
          3 2018   E06000056                                          NULL                                               LA                                                 NULL                                               NULL                                                                 2283.0
          3 2018   E06000057                                          NULL                                               LA                                                 NULL                                               NULL                                                                 3730.0
          3 2018   E06000058                                          NULL                                               LA                                                 NULL                                               NULL                                                                 4298.0
          3 2018   E06000059                                          NULL                                               LA                                                 NULL                                               NULL                                                                 4702.0
          3 2018   E06000060                                          NULL                                               LA                                                 NULL                                               NULL                                                                 4374.0
          3 2018   E07000008                                          NULL                                               LA                                                 NULL                                               NULL                                                                  839.0
          3 2018   E07000009                                          NULL                                               LA                                                 NULL                                               NULL                                                                  776.0
